 Label: , Distance: 17445958.723468315, Scale: 1744.5958723468316
 Label: , Distance: 161261591.5400793, Scale: 16126.15915400793
 Label: , Distance: 221428058.82353172, Scale: 22142.805882353172
 Label: , Distance: 254880591.83303106, Scale: 25488.059183303107
 Label: , Distance: 377658684.4906475, Scale: 37765.86844906475
 Label: , Distance: 917354485.1094923, Scale: 91735.44851094924
 Label: , Distance: 1536241980.0350852, Scale: 153624.19800350853
 Label: , Distance: 2915429231.418486, Scale: 291542.92314184865
 Label: , Distance: 4469141703.544521, Scale: 446914.17035445216
 Label: , Distance: 17445958.723468315, Scale: 1744.5958723468316
 Label: , Distance: 161261595.55316982, Scale: 16126.159555316983
 Label: , Distance: 221428060.04039207, Scale: 22142.80600403921
 Label: , Distance: 254880592.09016016, Scale: 25488.059209016017
 Label: , Distance: 377658684.7374679, Scale: 37765.86847374679
 Label: , Distance: 917354484.3817556, Scale: 91735.44843817556
 Label: , Distance: 1536241982.477227, Scale: 153624.1982477227
 Label: , Distance: 2915429234.576153, Scale: 291542.9234576153
 Label: , Distance: 4469141706.640511, Scale: 446914.1706640511
 Label: , Distance: 17445958.723468315, Scale: 1744.5958723468316
 Label: , Distance: 161261599.5662603, Scale: 16126.159956626032
 Label: , Distance: 221428061.25725242, Scale: 22142.806125725245
 Label: , Distance: 254880592.34728926, Scale: 25488.059234728928
 Label: , Distance: 377658684.9842882, Scale: 37765.86849842883
 Label: , Distance: 917354483.6540191, Scale: 91735.44836540191
 Label: , Distance: 1536241984.9193687, Scale: 153624.19849193687
 Label: , Distance: 2915429237.73382, Scale: 291542.92377338203
 Label: , Distance: 4469141709.736501, Scale: 446914.1709736501
 Label: , Distance: 17445958.723468315, Scale: 1744.5958723468316
 Label: , Distance: 161261603.57935068, Scale: 16126.160357935069
 Label: , Distance: 221428062.47411272, Scale: 22142.806247411274
 Label: , Distance: 254880592.60441834, Scale: 25488.059260441834
 Label: , Distance: 377658685.23110855, Scale: 37765.868523110854
 Label: , Distance: 917354482.9262825, Scale: 91735.44829262825
 Label: , Distance: 1536241987.3615108, Scale: 153624.19873615107
 Label: , Distance: 2915429240.891487, Scale: 291542.9240891487
 Label: , Distance: 4469141712.83249, Scale: 446914.17128324904
 Label: , Distance: 17445958.723468315, Scale: 1744.5958723468316
 Label: , Distance: 161261607.7087625, Scale: 16126.160770876251
 Label: , Distance: 221428063.7262444, Scale: 22142.80637262444
 Label: , Distance: 254880592.86900046, Scale: 25488.059286900047
 Label: , Distance: 377658685.48508304, Scale: 37765.868548508304
 Label: , Distance: 917354482.1774521, Scale: 91735.44821774522
 Label: , Distance: 1536241989.8744392, Scale: 153624.19898744393
 Label: , Distance: 2915429244.140681, Scale: 291542.9244140681
 Label: , Distance: 4469141716.018219, Scale: 446914.1716018219
 Label: , Distance: 17445958.723468315, Scale: 1744.5958723468316
 Label: , Distance: 161261611.78001347, Scale: 16126.161178001348
 Label: , Distance: 221428064.96074036, Scale: 22142.806496074038
 Label: , Distance: 254880593.12985605, Scale: 25488.059312985606
 Label: , Distance: 377658685.7354805, Scale: 37765.868573548054
 Label: , Distance: 917354481.4391683, Scale: 91735.44814391684
 Label: , Distance: 1536241992.3519742, Scale: 153624.19923519742
 Label: , Distance: 2915429247.34411, Scale: 291542.924734411
 Label: , Distance: 4469141719.159078, Scale: 446914.17191590776
 Label: , Distance: 17445958.723468315, Scale: 1744.5958723468316
 Label: , Distance: 161261615.73494294, Scale: 16126.161573494295
 Label: , Distance: 221428066.15996504, Scale: 22142.806615996506
 Label: , Distance: 254880593.38325864, Scale: 25488.059338325864
 Label: , Distance: 377658685.9787237, Scale: 37765.86859787237
 Label: , Distance: 917354480.7219784, Scale: 91735.44807219785
 Label: , Distance: 1536241994.7587223, Scale: 153624.19947587224
 Label: , Distance: 2915429250.456014, Scale: 291542.92504560144
 Label: , Distance: 4469141722.210198, Scale: 446914.17222101986
 Label: , Distance: 17445958.723468315, Scale: 1744.5958723468316
 Label: , Distance: 161261619.80619377, Scale: 16126.161980619378
 Label: , Distance: 221428067.394461, Scale: 22142.806739446103
 Label: , Distance: 254880593.64411423, Scale: 25488.059364411423
 Label: , Distance: 377658686.22912115, Scale: 37765.868622912116
 Label: , Distance: 917354479.9836948, Scale: 91735.44799836948
 Label: , Distance: 1536241997.2362578, Scale: 153624.1997236258
 Label: , Distance: 2915429253.6594443, Scale: 291542.92536594445
 Label: , Distance: 4469141725.351058, Scale: 446914.17253510584
 Label: , Distance: 17445958.723468315, Scale: 1744.5958723468316
 Label: , Distance: 161261623.81928375, Scale: 16126.162381928376
 Label: , Distance: 221428068.6113213, Scale: 22142.806861132132
 Label: , Distance: 254880593.90124333, Scale: 25488.059390124334
 Label: , Distance: 377658686.4759414, Scale: 37765.86864759414
 Label: , Distance: 917354479.255958, Scale: 91735.4479255958
 Label: , Distance: 1536241999.678399, Scale: 153624.19996783993
 Label: , Distance: 2915429256.817111, Scale: 291542.9256817111
 Label: , Distance: 4469141728.447048, Scale: 446914.1728447048
 Label: , Distance: 17445958.723468315, Scale: 1744.5958723468316
 Label: , Distance: 161261627.8905344, Scale: 16126.16278905344
 Label: , Distance: 221428069.84581724, Scale: 22142.806984581726
 Label: , Distance: 254880594.16209888, Scale: 25488.05941620989
 Label: , Distance: 377658686.72633886, Scale: 37765.868672633886
 Label: , Distance: 917354478.5176742, Scale: 91735.44785176743
 Label: , Distance: 1536242002.155934, Scale: 153624.20021559342
 Label: , Distance: 2915429260.020541, Scale: 291542.9260020541
 Label: , Distance: 4469141731.587908, Scale: 446914.1731587908
 Label: , Distance: 17445958.723468315, Scale: 1744.5958723468316
 Label: , Distance: 161261634.05557087, Scale: 16126.163405557088
 Label: , Distance: 221428071.71519673, Scale: 22142.807171519675
 Label: , Distance: 254880594.5571087, Scale: 25488.05945571087
 Label: , Distance: 377658687.10551196, Scale: 37765.8687105512
 Label: , Distance: 917354477.3997015, Scale: 91735.44773997016
 Label: , Distance: 1536242005.9076297, Scale: 153624.20059076298
 Label: , Distance: 2915429264.8714495, Scale: 291542.92648714496
 Label: , Distance: 4469141736.344066, Scale: 446914.1736344066
 Label: , Distance: 17445958.723468315, Scale: 1744.5958723468316
 Label: , Distance: 161261636.26567826, Scale: 16126.163626567826
 Label: , Distance: 221428072.3853517, Scale: 22142.80723853517
 Label: , Distance: 254880594.698716, Scale: 25488.0594698716
 Label: , Distance: 377658687.24144197, Scale: 37765.868724144195
 Label: , Distance: 917354476.9989188, Scale: 91735.44769989188
 Label: , Distance: 1536242007.2525773, Scale: 153624.20072525775
 Label: , Distance: 2915429266.610454, Scale: 291542.9266610454
 Label: , Distance: 4469141738.049104, Scale: 446914.1738049104
 Label: , Distance: 17445958.723468315, Scale: 1744.5958723468316
 Label: , Distance: 161261639.9879643, Scale: 16126.163998796432
 Label: , Distance: 221428073.51403368, Scale: 22142.807351403368
 Label: , Distance: 254880594.93721253, Scale: 25488.059493721255
 Label: , Distance: 377658687.47037673, Scale: 37765.868747037675
 Label: , Distance: 917354476.3239164, Scale: 91735.44763239165
 Label: , Distance: 1536242009.517752, Scale: 153624.2009517752
 Label: , Distance: 2915429269.5393043, Scale: 291542.92695393047
 Label: , Distance: 4469141740.920746, Scale: 446914.1740920746
 Label: , Distance: 17445958.723468315, Scale: 1744.5958723468316
 Label: , Distance: 161261644.0010539, Scale: 16126.16440010539
 Label: , Distance: 221428074.73089394, Scale: 22142.807473089397
 Label: , Distance: 254880595.1943416, Scale: 25488.059519434162
 Label: , Distance: 377658687.71719694, Scale: 37765.868771719695
 Label: , Distance: 917354475.5961792, Scale: 91735.44755961793
 Label: , Distance: 1536242011.9598932, Scale: 153624.20119598933
 Label: , Distance: 2915429272.6969714, Scale: 291542.92726969713
 Label: , Distance: 4469141744.016737, Scale: 446914.1744016737
 Label: , Distance: 17445958.723468315, Scale: 1744.5958723468316
 Label: , Distance: 161261648.07230413, Scale: 16126.164807230414
 Label: , Distance: 221428075.96538982, Scale: 22142.807596538983
 Label: , Distance: 254880595.45519713, Scale: 25488.059545519714
 Label: , Distance: 377658687.96759427, Scale: 37765.86879675943
 Label: , Distance: 917354474.8578953, Scale: 91735.44748578953
 Label: , Distance: 1536242014.4374278, Scale: 153624.2014437428
 Label: , Distance: 2915429275.9004016, Scale: 291542.9275900402
 Label: , Distance: 4469141747.157596, Scale: 446914.1747157596
 Label: , Distance: 17445958.723468315, Scale: 1744.5958723468316
 Label: , Distance: 161261652.0853936, Scale: 16126.165208539362
 Label: , Distance: 221428077.18225008, Scale: 22142.80771822501
 Label: , Distance: 254880595.7123262, Scale: 25488.05957123262
 Label: , Distance: 377658688.2144145, Scale: 37765.86882144145
 Label: , Distance: 917354474.1301581, Scale: 91735.4474130158
 Label: , Distance: 1536242016.879569, Scale: 153624.2016879569
 Label: , Distance: 2915429279.058068, Scale: 291542.9279058068
 Label: , Distance: 4469141750.253586, Scale: 446914.1750253586
 Label: , Distance: 17445958.723468315, Scale: 1744.5958723468316
 Label: , Distance: 161261656.15664372, Scale: 16126.165615664373
 Label: , Distance: 221428078.41674602, Scale: 22142.807841674603
 Label: , Distance: 254880595.97318175, Scale: 25488.059597318177
 Label: , Distance: 377658688.4648118, Scale: 37765.86884648118
 Label: , Distance: 917354473.3918738, Scale: 91735.44733918739
 Label: , Distance: 1536242019.3571038, Scale: 153624.20193571039
 Label: , Distance: 2915429282.261498, Scale: 291542.9282261498
 Label: , Distance: 4469141753.394445, Scale: 446914.17533944454
 Label: , Distance: 17445958.723468315, Scale: 1744.5958723468316
 Label: , Distance: 161261660.169733, Scale: 16126.1660169733
 Label: , Distance: 221428079.63360626, Scale: 22142.807963360625
 Label: , Distance: 254880596.23031077, Scale: 25488.059623031077
 Label: , Distance: 377658688.7116321, Scale: 37765.868871163206
 Label: , Distance: 917354472.6641366, Scale: 91735.44726641367
 Label: , Distance: 1536242021.7992449, Scale: 153624.2021799245
 Label: , Distance: 2915429285.419165, Scale: 291542.92854191654
 Label: , Distance: 4469141756.490436, Scale: 446914.1756490436
 Label: , Distance: 17445958.723468315, Scale: 1744.5958723468316
 Label: , Distance: 161261664.24098292, Scale: 16126.166424098294
 Label: , Distance: 221428080.86810213, Scale: 22142.808086810215
 Label: , Distance: 254880596.49116635, Scale: 25488.059649116636
 Label: , Distance: 377658688.96202934, Scale: 37765.868896202934
 Label: , Distance: 917354471.9258525, Scale: 91735.44719258526
 Label: , Distance: 1536242024.2767797, Scale: 153624.20242767798
 Label: , Distance: 2915429288.622595, Scale: 291542.9288622595
 Label: , Distance: 4469141759.631295, Scale: 446914.17596312956
 Label: , Distance: 17445958.723468315, Scale: 1744.5958723468316
 Label: , Distance: 161261668.254072, Scale: 16126.166825407201
 Label: , Distance: 221428082.08496237, Scale: 22142.808208496237
 Label: , Distance: 254880596.74829534, Scale: 25488.059674829536
 Label: , Distance: 377658689.2088495, Scale: 37765.868920884954
 Label: , Distance: 917354471.1981151, Scale: 91735.44711981152
 Label: , Distance: 1536242026.7189207, Scale: 153624.20267189207
 Label: , Distance: 2915429291.780261, Scale: 291542.9291780261
 Label: , Distance: 4469141762.727285, Scale: 446914.17627272854
 Label: , Distance: 17445958.723468315, Scale: 1744.5958723468316
 Label: , Distance: 161261672.26716107, Scale: 16126.167226716108
 Label: , Distance: 221428083.3018226, Scale: 22142.808330182263
 Label: , Distance: 254880597.00542438, Scale: 25488.05970054244
 Label: , Distance: 377658689.4556697, Scale: 37765.868945566974
 Label: , Distance: 917354470.4703777, Scale: 91735.44704703777
 Label: , Distance: 1536242029.1610618, Scale: 153624.20291610618
 Label: , Distance: 2915429294.937928, Scale: 291542.9294937928
 Label: , Distance: 4469141765.823276, Scale: 446914.1765823276
 Label: , Distance: 17445958.723468315, Scale: 1744.5958723468316
 Label: , Distance: 161261676.28024998, Scale: 16126.167628025
 Label: , Distance: 221428084.51868278, Scale: 22142.808451868277
 Label: , Distance: 254880597.26255336, Scale: 25488.05972625534
 Label: , Distance: 377658689.7024898, Scale: 37765.86897024898
 Label: , Distance: 917354469.7426401, Scale: 91735.44697426402
 Label: , Distance: 1536242031.603203, Scale: 153624.20316032032
 Label: , Distance: 2915429298.0955944, Scale: 291542.9298095594
 Label: , Distance: 4469141768.919266, Scale: 446914.1768919266
 Label: , Distance: 17445958.723468315, Scale: 1744.5958723468316
 Label: , Distance: 161261680.3514996, Scale: 16126.16803514996
 Label: , Distance: 221428085.75317863, Scale: 22142.808575317864
 Label: , Distance: 254880597.5234089, Scale: 25488.05975234089
 Label: , Distance: 377658689.9528871, Scale: 37765.868995288714
 Label: , Distance: 917354469.0043559, Scale: 91735.44690043559
 Label: , Distance: 1536242034.080737, Scale: 153624.20340807372
 Label: , Distance: 2915429301.2990246, Scale: 291542.9301299025
 Label: , Distance: 4469141772.060125, Scale: 446914.17720601254
 Label: , Distance: 17445958.723468315, Scale: 1744.5958723468316
 Label: , Distance: 161261684.36458847, Scale: 16126.168436458847
 Label: , Distance: 221428086.97003886, Scale: 22142.808697003886
 Label: , Distance: 254880597.78053793, Scale: 25488.059778053794
 Label: , Distance: 377658690.19970727, Scale: 37765.86901997073
 Label: , Distance: 917354468.2766181, Scale: 91735.44682766181
 Label: , Distance: 1536242036.5228782, Scale: 153624.20365228783
 Label: , Distance: 2915429304.456691, Scale: 291542.9304456691
 Label: , Distance: 4469141775.1561165, Scale: 446914.1775156117
 Label: , Distance: 17445958.723468315, Scale: 1744.5958723468316
 Label: , Distance: 161261688.43583786, Scale: 16126.168843583788
 Label: , Distance: 221428088.2045347, Scale: 22142.808820453472
 Label: , Distance: 254880598.0413934, Scale: 25488.059804139342
 Label: , Distance: 377658690.45010453, Scale: 37765.869045010455
 Label: , Distance: 917354467.5383339, Scale: 91735.4467538334
 Label: , Distance: 1536242039.0004125, Scale: 153624.20390004126
 Label: , Distance: 2915429307.660121, Scale: 291542.9307660121
 Label: , Distance: 4469141778.296976, Scale: 446914.1778296976
 Label: , Distance: 17445958.723468315, Scale: 1744.5958723468316
 Label: , Distance: 161261692.4489265, Scale: 16126.169244892651
 Label: , Distance: 221428089.42139488, Scale: 22142.80894213949
 Label: , Distance: 254880598.2985224, Scale: 25488.059829852242
 Label: , Distance: 377658690.6969247, Scale: 37765.86906969247
 Label: , Distance: 917354466.8105961, Scale: 91735.44668105962
 Label: , Distance: 1536242041.4425533, Scale: 153624.20414425535
 Label: , Distance: 2915429310.8177876, Scale: 291542.9310817788
 Label: , Distance: 4469141781.392966, Scale: 446914.17813929665
 Label: , Distance: 17445958.723468315, Scale: 1744.5958723468316
 Label: , Distance: 161261696.52017573, Scale: 16126.169652017574
 Label: , Distance: 221428090.6558907, Scale: 22142.80906558907
 Label: , Distance: 254880598.55937794, Scale: 25488.059855937794
 Label: , Distance: 377658690.9473219, Scale: 37765.86909473219
 Label: , Distance: 917354466.0723115, Scale: 91735.44660723116
 Label: , Distance: 1536242043.9200873, Scale: 153624.20439200875
 Label: , Distance: 2915429314.0212173, Scale: 291542.9314021217
 Label: , Distance: 4469141784.533826, Scale: 446914.1784533826
 Label: , Distance: 17445958.723468315, Scale: 1744.5958723468316
 Label: , Distance: 161261700.59142494, Scale: 16126.170059142494
 Label: , Distance: 221428091.89038655, Scale: 22142.809189038657
 Label: , Distance: 254880598.8202334, Scale: 25488.059882023343
 Label: , Distance: 377658691.1977191, Scale: 37765.86911977191
 Label: , Distance: 917354465.3340268, Scale: 91735.44653340269
 Label: , Distance: 1536242046.3976216, Scale: 153624.20463976217
 Label: , Distance: 2915429317.2246475, Scale: 291542.93172246474
 Label: , Distance: 4469141787.674686, Scale: 446914.17876746866
 Label: , Distance: 17445958.723468315, Scale: 1744.5958723468316
 Label: , Distance: 161261704.60451335, Scale: 16126.170460451336
 Label: , Distance: 221428093.1072467, Scale: 22142.80931072467
 Label: , Distance: 254880599.0773624, Scale: 25488.05990773624
 Label: , Distance: 377658691.4445392, Scale: 37765.86914445392
 Label: , Distance: 917354464.6062889, Scale: 91735.4464606289
 Label: , Distance: 1536242048.8397624, Scale: 153624.20488397626
 Label: , Distance: 2915429320.382314, Scale: 291542.93203823146
 Label: , Distance: 4469141790.770676, Scale: 446914.1790770676
 Label: , Distance: 17445958.723468315, Scale: 1744.5958723468316
 Label: , Distance: 161261708.6757624, Scale: 16126.170867576238
 Label: , Distance: 221428094.34174255, Scale: 22142.809434174254
 Label: , Distance: 254880599.3382179, Scale: 25488.059933821794
 Label: , Distance: 377658691.6949364, Scale: 37765.86916949364
 Label: , Distance: 917354463.8680044, Scale: 91735.44638680045
 Label: , Distance: 1536242051.3172965, Scale: 153624.20513172966
 Label: , Distance: 2915429323.5857434, Scale: 291542.93235857436
 Label: , Distance: 4469141793.911536, Scale: 446914.1793911536
 Label: , Distance: 17445958.723468315, Scale: 1744.5958723468316
 Label: , Distance: 161261712.6888506, Scale: 16126.171268885062
 Label: , Distance: 221428095.55860266, Scale: 22142.809555860265
 Label: , Distance: 254880599.5953469, Scale: 25488.05995953469
 Label: , Distance: 377658691.9417565, Scale: 37765.86919417565
 Label: , Distance: 917354463.1402664, Scale: 91735.44631402665
 Label: , Distance: 1536242053.759437, Scale: 153624.2053759437
 Label: , Distance: 2915429326.7434096, Scale: 291542.93267434096
 Label: , Distance: 4469141797.007525, Scale: 446914.17970075255
 Label: , Distance: 17445958.723468315, Scale: 1744.5958723468316
 Label: , Distance: 161261716.70193875, Scale: 16126.171670193875
 Label: , Distance: 221428096.77546278, Scale: 22142.80967754628
 Label: , Distance: 254880599.85247585, Scale: 25488.059985247586
 Label: , Distance: 377658692.1885766, Scale: 37765.86921885766
 Label: , Distance: 917354462.4125285, Scale: 91735.44624125285
 Label: , Distance: 1536242056.2015777, Scale: 153624.20562015777
 Label: , Distance: 2915429329.9010763, Scale: 291542.9329901076
 Label: , Distance: 4469141800.103517, Scale: 446914.1800103517
 Label: , Distance: 17445958.723468315, Scale: 1744.5958723468316
 Label: , Distance: 161261720.77318752, Scale: 16126.172077318752
 Label: , Distance: 221428098.0099586, Scale: 22142.80980099586
 Label: , Distance: 254880600.11333135, Scale: 25488.060011333135
 Label: , Distance: 377658692.4389737, Scale: 37765.869243897374
 Label: , Distance: 917354461.6742436, Scale: 91735.44616742436
 Label: , Distance: 1536242058.6791117, Scale: 153624.20586791117
 Label: , Distance: 2915429333.1045065, Scale: 291542.93331045064
 Label: , Distance: 4469141803.244376, Scale: 446914.1803244376
 Label: , Distance: 17445958.723468315, Scale: 1744.5958723468316
 Label: , Distance: 161261724.7862756, Scale: 16126.17247862756
 Label: , Distance: 221428099.22681874, Scale: 22142.809922681874
 Label: , Distance: 254880600.37046027, Scale: 25488.060037046027
 Label: , Distance: 377658692.68579376, Scale: 37765.86926857938
 Label: , Distance: 917354460.9465055, Scale: 91735.44609465056
 Label: , Distance: 1536242061.1212523, Scale: 153624.20611212525
 Label: , Distance: 2915429336.2621727, Scale: 291542.9336262173
 Label: , Distance: 4469141806.340366, Scale: 446914.18063403666
 Label: , Distance: 17445958.723468315, Scale: 1744.5958723468316
 Label: , Distance: 161261728.7993635, Scale: 16126.17287993635
 Label: , Distance: 221428100.4436789, Scale: 22142.81004436789
 Label: , Distance: 254880600.6275893, Scale: 25488.06006275893
 Label: , Distance: 377658692.93261385, Scale: 37765.869293261385
 Label: , Distance: 917354460.2187674, Scale: 91735.44602187675
 Label: , Distance: 1536242063.5633926, Scale: 153624.20635633927
 Label: , Distance: 2915429339.419839, Scale: 291542.9339419839
 Label: , Distance: 4469141809.4363575, Scale: 446914.18094363576
 Label: , Distance: 17445958.723468315, Scale: 1744.5958723468316
 Label: , Distance: 161261732.870612, Scale: 16126.1732870612
 Label: , Distance: 221428101.67817467, Scale: 22142.810167817468
 Label: , Distance: 254880600.88844475, Scale: 25488.060088844475
 Label: , Distance: 377658693.183011, Scale: 37765.8693183011
 Label: , Distance: 917354459.4804825, Scale: 91735.44594804825
 Label: , Distance: 1536242066.0409265, Scale: 153624.20660409264
 Label: , Distance: 2915429342.623269, Scale: 291542.9342623269
 Label: , Distance: 4469141812.577218, Scale: 446914.18125772185
 Label: , Distance: 17445958.723468315, Scale: 1744.5958723468316
 Label: , Distance: 161261736.88369974, Scale: 16126.173688369976
 Label: , Distance: 221428102.8950347, Scale: 22142.81028950347
 Label: , Distance: 254880601.14557368, Scale: 25488.060114557367
 Label: , Distance: 377658693.4298309, Scale: 37765.86934298309
 Label: , Distance: 917354458.7527443, Scale: 91735.44587527444
 Label: , Distance: 1536242068.4830668, Scale: 153624.2068483067
 Label: , Distance: 2915429345.7809353, Scale: 291542.9345780935
 Label: , Distance: 4469141815.673208, Scale: 446914.18156732083
 Label: , Distance: 17445958.723468315, Scale: 1744.5958723468316
 Label: , Distance: 161261740.95494813, Scale: 16126.174095494813
 Label: , Distance: 221428104.1295305, Scale: 22142.81041295305
 Label: , Distance: 254880601.40642914, Scale: 25488.060140642916
 Label: , Distance: 377658693.68022805, Scale: 37765.86936802281
 Label: , Distance: 917354458.0144591, Scale: 91735.44580144592
 Label: , Distance: 1536242070.9606006, Scale: 153624.20709606007
 Label: , Distance: 2915429348.984365, Scale: 291542.93489843654
 Label: , Distance: 4469141818.814069, Scale: 446914.1818814069
 Label: , Distance: 17445958.723468315, Scale: 1744.5958723468316
 Label: , Distance: 161261745.0261964, Scale: 16126.17450261964
 Label: , Distance: 221428105.36402625, Scale: 22142.810536402627
 Label: , Distance: 254880601.66728458, Scale: 25488.060166728457
 Label: , Distance: 377658693.93062514, Scale: 37765.869393062516
 Label: , Distance: 917354457.2761741, Scale: 91735.4457276174
 Label: , Distance: 1536242073.4381342, Scale: 153624.20734381344
 Label: , Distance: 2915429352.187794, Scale: 291542.9352187794
 Label: , Distance: 4469141821.954928, Scale: 446914.18219549285
 Label: , Distance: 17445958.723468315, Scale: 1744.5958723468316
 Label: , Distance: 161261749.03928396, Scale: 16126.174903928397
 Label: , Distance: 221428106.58088636, Scale: 22142.810658088638
 Label: , Distance: 254880601.92441353, Scale: 25488.060192441353
